Date,Fuel type,Count
1/1/2007,Electricity,0
1/1/2007,Ethanol,1891
1/1/2007,Gas,13521
1/1/2007,NG,200
1/1/2007,Others,1
1/1/2007,Plug-in hybrids,0
2/1/2007,Diesel,6615
2/1/2007,Electric hybrids,243
2/1/2007,Electricity,0
2/1/2007,Ethanol,1965
2/1/2007,Gas,13479
2/1/2007,NG,169
2/1/2007,Others,0
2/1/2007,Plug-in hybrids,0
3/1/2007,Diesel,8418
3/1/2007,Electric hybrids,280
3/1/2007,Electricity,0
3/1/2007,Ethanol,2361
3/1/2007,Gas,19340
3/1/2007,NG,200
3/1/2007,Others,0
3/1/2007,Plug-in hybrids,0
4/1/2007,Diesel,8269
4/1/2007,Electric hybrids,286
4/1/2007,Electricity,0
4/1/2007,Ethanol,2464
4/1/2007,Gas,19362
4/1/2007,NG,152
4/1/2007,Others,0
4/1/2007,Plug-in hybrids,0
5/1/2007,Diesel,9492
5/1/2007,Electric hybrids,351
5/1/2007,Electricity,0
5/1/2007,Ethanol,3429
5/1/2007,Gas,20085
5/1/2007,NG,168
5/1/2007,Others,1
5/1/2007,Plug-in hybrids,0
6/1/2007,Diesel,8877
6/1/2007,Electric hybrids,313
6/1/2007,Electricity,0
6/1/2007,Ethanol,3155
6/1/2007,Gas,17837
6/1/2007,NG,247
6/1/2007,Others,1
6/1/2007,Plug-in hybrids,0
7/1/2007,Diesel,6979
7/1/2007,Electric hybrids,256
7/1/2007,Electricity,0
7/1/2007,Ethanol,2508
7/1/2007,Gas,13520
7/1/2007,NG,136
7/1/2007,Others,0
7/1/2007,Plug-in hybrids,0
8/1/2007,Diesel,8630
8/1/2007,Electric hybrids,319
8/1/2007,Electricity,1
8/1/2007,Ethanol,2229
8/1/2007,Gas,14772
8/1/2007,NG,111
8/1/2007,Others,1
8/1/2007,Plug-in hybrids,0
9/1/2007,Diesel,8803
9/1/2007,Electric hybrids,255
9/1/2007,Electricity,0
9/1/2007,Ethanol,2756
9/1/2007,Gas,14276
9/1/2007,NG,96
9/1/2007,Others,0
9/1/2007,Plug-in hybrids,0
10/1/2007,Diesel,11332
10/1/2007,Electric hybrids,243
10/1/2007,Electricity,0
10/1/2007,Ethanol,4183
10/1/2007,Gas,15476
10/1/2007,NG,80
10/1/2007,Others,1
10/1/2007,Plug-in hybrids,0
11/1/2007,Diesel,12240
11/1/2007,Electric hybrids,261
11/1/2007,Electricity,0
11/1/2007,Ethanol,4251
11/1/2007,Gas,12810
11/1/2007,NG,119
11/1/2007,Others,0
11/1/2007,Plug-in hybrids,0
12/1/2007,Diesel,16944
12/1/2007,Electric hybrids,300
12/1/2007,Electricity,1
12/1/2007,Ethanol,4321
12/1/2007,Gas,9823
12/1/2007,NG,81
12/1/2007,Others,0
12/1/2007,Plug-in hybrids,0
1/1/2008,Diesel,5292
1/1/2008,Electric hybrids,307
1/1/2008,Electricity,0
1/1/2008,Ethanol,4677
1/1/2008,Gas,8977
1/1/2008,NG,90
1/1/2008,Others,0
1/1/2008,Plug-in hybrids,0
2/1/2008,Diesel,8221
2/1/2008,Electric hybrids,363
2/1/2008,Electricity,0
2/1/2008,Ethanol,4595
2/1/2008,Gas,9634
2/1/2008,NG,85
2/1/2008,Others,0
2/1/2008,Plug-in hybrids,0
3/1/2008,Diesel,9180
3/1/2008,Electric hybrids,316
3/1/2008,Electricity,0
3/1/2008,Ethanol,4317
3/1/2008,Gas,11105
3/1/2008,NG,62
3/1/2008,Others,0
3/1/2008,Plug-in hybrids,0
4/1/2008,Diesel,11334
4/1/2008,Electric hybrids,451
4/1/2008,Electricity,0
4/1/2008,Ethanol,5032
4/1/2008,Gas,13284
4/1/2008,NG,97
4/1/2008,Others,0
4/1/2008,Plug-in hybrids,0
5/1/2008,Diesel,10458
5/1/2008,Electric hybrids,435
5/1/2008,Electricity,1
5/1/2008,Ethanol,5477
5/1/2008,Gas,12672
5/1/2008,NG,85
5/1/2008,Others,1
5/1/2008,Plug-in hybrids,0
6/1/2008,Diesel,9024
6/1/2008,Electric hybrids,340
6/1/2008,Electricity,0
6/1/2008,Ethanol,5948
6/1/2008,Gas,10656
6/1/2008,NG,74
6/1/2008,Others,1
6/1/2008,Plug-in hybrids,0
7/1/2008,Diesel,6673
7/1/2008,Electric hybrids,297
7/1/2008,Electricity,0
7/1/2008,Ethanol,3680
7/1/2008,Gas,8504
7/1/2008,NG,47
7/1/2008,Others,2
7/1/2008,Plug-in hybrids,0
8/1/2008,Diesel,6923
8/1/2008,Electric hybrids,352
8/1/2008,Electricity,0
8/1/2008,Ethanol,3940
8/1/2008,Gas,8558
8/1/2008,NG,79
8/1/2008,Others,0
8/1/2008,Plug-in hybrids,0
9/1/2008,Diesel,8407
9/1/2008,Electric hybrids,376
9/1/2008,Electricity,0
9/1/2008,Ethanol,6080
9/1/2008,Gas,9584
9/1/2008,NG,187
9/1/2008,Others,0
9/1/2008,Plug-in hybrids,0
10/1/2008,Diesel,8275
10/1/2008,Electric hybrids,307
10/1/2008,Electricity,0
10/1/2008,Ethanol,6431
10/1/2008,Gas,8668
10/1/2008,NG,184
10/1/2008,Others,1
10/1/2008,Plug-in hybrids,0
11/1/2008,Diesel,6504
11/1/2008,Electric hybrids,279
11/1/2008,Electricity,0
11/1/2008,Ethanol,4565
11/1/2008,Gas,6736
11/1/2008,NG,192
11/1/2008,Others,0
11/1/2008,Plug-in hybrids,0
12/1/2008,Diesel,6874
12/1/2008,Electric hybrids,423
12/1/2008,Electricity,0
12/1/2008,Ethanol,4282
12/1/2008,Gas,6137
12/1/2008,NG,205
12/1/2008,Others,1
12/1/2008,Plug-in hybrids,0
1/1/2009,Diesel,4852
1/1/2009,Electric hybrids,148
1/1/2009,Electricity,2
1/1/2009,Ethanol,2378
1/1/2009,Gas,4872
1/1/2009,NG,119
1/1/2009,Others,0
1/1/2009,Plug-in hybrids,0
2/1/2009,Diesel,5911
2/1/2009,Electric hybrids,127
2/1/2009,Electricity,2
2/1/2009,Ethanol,3069
2/1/2009,Gas,6244
2/1/2009,NG,154
2/1/2009,Others,1
2/1/2009,Plug-in hybrids,0
3/1/2009,Diesel,7125
3/1/2009,Electric hybrids,143
3/1/2009,Electricity,6
3/1/2009,Ethanol,3997
3/1/2009,Gas,7636
3/1/2009,NG,317
3/1/2009,Others,1
3/1/2009,Plug-in hybrids,0
4/1/2009,Diesel,7527
4/1/2009,Electric hybrids,184
4/1/2009,Electricity,0
4/1/2009,Ethanol,3854
4/1/2009,Gas,7931
4/1/2009,NG,486
4/1/2009,Others,1
4/1/2009,Plug-in hybrids,0
5/1/2009,Diesel,6748
5/1/2009,Electric hybrids,155
5/1/2009,Electricity,5
5/1/2009,Ethanol,4663
5/1/2009,Gas,7646
5/1/2009,NG,541
5/1/2009,Others,2
5/1/2009,Plug-in hybrids,0
6/1/2009,Diesel,9030
6/1/2009,Electric hybrids,261
6/1/2009,Electricity,3
6/1/2009,Ethanol,4861
6/1/2009,Gas,9334
6/1/2009,NG,651
6/1/2009,Others,1
6/1/2009,Plug-in hybrids,0
7/1/2009,Diesel,6340
7/1/2009,Electric hybrids,148
7/1/2009,Electricity,2
7/1/2009,Ethanol,2341
7/1/2009,Gas,6459
7/1/2009,NG,623
7/1/2009,Others,0
7/1/2009,Plug-in hybrids,0
8/1/2009,Diesel,6583
8/1/2009,Electric hybrids,279
8/1/2009,Electricity,3
8/1/2009,Ethanol,2915
8/1/2009,Gas,6218
8/1/2009,NG,725
8/1/2009,Others,0
8/1/2009,Plug-in hybrids,0
9/1/2009,Diesel,8603
9/1/2009,Electric hybrids,514
9/1/2009,Electricity,1
9/1/2009,Ethanol,3220
9/1/2009,Gas,7703
9/1/2009,NG,749
9/1/2009,Others,3
9/1/2009,Plug-in hybrids,0
10/1/2009,Diesel,9984
10/1/2009,Electric hybrids,456
10/1/2009,Electricity,2
10/1/2009,Ethanol,3052
10/1/2009,Gas,8674
10/1/2009,NG,642
10/1/2009,Others,1
10/1/2009,Plug-in hybrids,0
11/1/2009,Diesel,9021
11/1/2009,Electric hybrids,358
11/1/2009,Electricity,2
11/1/2009,Ethanol,3063
11/1/2009,Gas,8235
11/1/2009,NG,503
11/1/2009,Others,3
11/1/2009,Plug-in hybrids,0
12/1/2009,Diesel,9459
12/1/2009,Electric hybrids,312
12/1/2009,Electricity,1
12/1/2009,Ethanol,2752
12/1/2009,Gas,6974
12/1/2009,NG,615
12/1/2009,Others,2
12/1/2009,Plug-in hybrids,0
1/1/2010,Diesel,7270
1/1/2010,Electric hybrids,281
1/1/2010,Electricity,1
1/1/2010,Ethanol,2359
1/1/2010,Gas,5876
1/1/2010,NG,561
1/1/2010,Others,4
1/1/2010,Plug-in hybrids,0
2/1/2010,Diesel,9329
2/1/2010,Electric hybrids,258
2/1/2010,Electricity,0
2/1/2010,Ethanol,2633
2/1/2010,Gas,6012
2/1/2010,NG,670
2/1/2010,Others,0
2/1/2010,Plug-in hybrids,0
3/1/2010,Diesel,13018
3/1/2010,Electric hybrids,438
3/1/2010,Electricity,1
3/1/2010,Ethanol,3053
3/1/2010,Gas,10201
3/1/2010,NG,616
3/1/2010,Others,4
3/1/2010,Plug-in hybrids,0
4/1/2010,Diesel,13255
4/1/2010,Electric hybrids,334
4/1/2010,Electricity,1
4/1/2010,Ethanol,3094
4/1/2010,Gas,10457
4/1/2010,NG,630
4/1/2010,Others,0
4/1/2010,Plug-in hybrids,0
5/1/2010,Diesel,12561
5/1/2010,Electric hybrids,325
5/1/2010,Electricity,0
5/1/2010,Ethanol,3297
5/1/2010,Gas,10489
5/1/2010,NG,601
5/1/2010,Others,2
5/1/2010,Plug-in hybrids,0
6/1/2010,Diesel,15028
6/1/2010,Electric hybrids,273
6/1/2010,Electricity,1
6/1/2010,Ethanol,3513
6/1/2010,Gas,11517
6/1/2010,NG,705
6/1/2010,Others,2
6/1/2010,Plug-in hybrids,0
7/1/2010,Diesel,10887
7/1/2010,Electric hybrids,152
7/1/2010,Electricity,0
7/1/2010,Ethanol,2050
7/1/2010,Gas,8342
7/1/2010,NG,573
7/1/2010,Others,1
7/1/2010,Plug-in hybrids,0
8/1/2010,Diesel,11695
8/1/2010,Electric hybrids,277
8/1/2010,Electricity,1
8/1/2010,Ethanol,2451
8/1/2010,Gas,9017
8/1/2010,NG,629
8/1/2010,Others,4
8/1/2010,Plug-in hybrids,0
9/1/2010,Diesel,13998
9/1/2010,Electric hybrids,363
9/1/2010,Electricity,0
9/1/2010,Ethanol,2961
9/1/2010,Gas,9704
9/1/2010,NG,547
9/1/2010,Others,0
9/1/2010,Plug-in hybrids,0
10/1/2010,Diesel,14729
10/1/2010,Electric hybrids,366
10/1/2010,Electricity,3
10/1/2010,Ethanol,3098
10/1/2010,Gas,8973
10/1/2010,NG,555
10/1/2010,Others,1
10/1/2010,Plug-in hybrids,0
11/1/2010,Diesel,15027
11/1/2010,Electric hybrids,353
11/1/2010,Electricity,0
11/1/2010,Ethanol,3330
11/1/2010,Gas,8888
11/1/2010,NG,484
11/1/2010,Others,1
11/1/2010,Plug-in hybrids,0
12/1/2010,Diesel,17485
12/1/2010,Electric hybrids,300
12/1/2010,Electricity,3
12/1/2010,Ethanol,3626
12/1/2010,Gas,8752
12/1/2010,NG,434
12/1/2010,Others,4
12/1/2010,Plug-in hybrids,0
1/1/2011,Diesel,12281
1/1/2011,Electric hybrids,238
1/1/2011,Electricity,3
1/1/2011,Ethanol,817
1/1/2011,Gas,6835
1/1/2011,NG,275
1/1/2011,Others,4
1/1/2011,Plug-in hybrids,0
2/1/2011,Diesel,13524
2/1/2011,Electric hybrids,250
2/1/2011,Electricity,29
2/1/2011,Ethanol,973
2/1/2011,Gas,7128
2/1/2011,NG,308
2/1/2011,Others,2
2/1/2011,Plug-in hybrids,0
3/1/2011,Diesel,18311
3/1/2011,Electric hybrids,374
3/1/2011,Electricity,36
3/1/2011,Ethanol,1387
3/1/2011,Gas,10963
3/1/2011,NG,569
3/1/2011,Others,2
3/1/2011,Plug-in hybrids,0
4/1/2011,Diesel,17958
4/1/2011,Electric hybrids,336
4/1/2011,Electricity,23
4/1/2011,Ethanol,1539
4/1/2011,Gas,10748
4/1/2011,NG,525
4/1/2011,Others,3
4/1/2011,Plug-in hybrids,0
5/1/2011,Diesel,19373
5/1/2011,Electric hybrids,300
5/1/2011,Electricity,40
5/1/2011,Ethanol,1709
5/1/2011,Gas,11277
5/1/2011,NG,767
5/1/2011,Others,0
5/1/2011,Plug-in hybrids,0
6/1/2011,Diesel,17940
6/1/2011,Electric hybrids,194
6/1/2011,Electricity,11
6/1/2011,Ethanol,1602
6/1/2011,Gas,9829
6/1/2011,NG,470
6/1/2011,Others,1
6/1/2011,Plug-in hybrids,0
7/1/2011,Diesel,12922
7/1/2011,Electric hybrids,121
7/1/2011,Electricity,0
7/1/2011,Ethanol,911
7/1/2011,Gas,7294
7/1/2011,NG,335
7/1/2011,Others,2
7/1/2011,Plug-in hybrids,0
8/1/2011,Diesel,15410
8/1/2011,Electric hybrids,257
8/1/2011,Electricity,3
8/1/2011,Ethanol,1387
8/1/2011,Gas,8674
8/1/2011,NG,607
8/1/2011,Others,4
8/1/2011,Plug-in hybrids,0
9/1/2011,Diesel,17006
9/1/2011,Electric hybrids,245
9/1/2011,Electricity,3
9/1/2011,Ethanol,1340
9/1/2011,Gas,9039
9/1/2011,NG,872
9/1/2011,Others,4
9/1/2011,Plug-in hybrids,0
10/1/2011,Diesel,16285
10/1/2011,Electric hybrids,177
10/1/2011,Electricity,7
10/1/2011,Ethanol,1221
10/1/2011,Gas,8222
10/1/2011,NG,732
10/1/2011,Others,2
10/1/2011,Plug-in hybrids,0
11/1/2011,Diesel,17472
11/1/2011,Electric hybrids,256
11/1/2011,Electricity,15
11/1/2011,Ethanol,1423
11/1/2011,Gas,8424
11/1/2011,NG,664
11/1/2011,Others,2
11/1/2011,Plug-in hybrids,0
12/1/2011,Diesel,16671
12/1/2011,Electric hybrids,179
12/1/2011,Electricity,15
12/1/2011,Ethanol,974
12/1/2011,Gas,8019
12/1/2011,NG,494
12/1/2011,Others,5
12/1/2011,Plug-in hybrids,0
1/1/2012,Diesel,13223
1/1/2012,Electric hybrids,109
1/1/2012,Electricity,10
1/1/2012,Ethanol,645
1/1/2012,Gas,5398
1/1/2012,NG,521
1/1/2012,Others,3
1/1/2012,Plug-in hybrids,0
2/1/2012,Diesel,14908
2/1/2012,Electric hybrids,119
2/1/2012,Electricity,14
2/1/2012,Ethanol,608
2/1/2012,Gas,5918
2/1/2012,NG,450
2/1/2012,Others,3
2/1/2012,Plug-in hybrids,0
3/1/2012,Diesel,19715
3/1/2012,Electric hybrids,161
3/1/2012,Electricity,33
3/1/2012,Ethanol,697
3/1/2012,Gas,9215
3/1/2012,NG,607
3/1/2012,Others,5
3/1/2012,Plug-in hybrids,3
4/1/2012,Diesel,16400
4/1/2012,Electric hybrids,110
4/1/2012,Electricity,37
4/1/2012,Ethanol,551
4/1/2012,Gas,7832
4/1/2012,NG,435
4/1/2012,Others,7
4/1/2012,Plug-in hybrids,19
5/1/2012,Diesel,18266
5/1/2012,Electric hybrids,172
5/1/2012,Electricity,20
5/1/2012,Ethanol,592
5/1/2012,Gas,8986
5/1/2012,NG,439
5/1/2012,Others,3
5/1/2012,Plug-in hybrids,18
6/1/2012,Diesel,17755
6/1/2012,Electric hybrids,261
6/1/2012,Electricity,16
6/1/2012,Ethanol,517
6/1/2012,Gas,8816
6/1/2012,NG,373
6/1/2012,Others,0
6/1/2012,Plug-in hybrids,28
7/1/2012,Diesel,12338
7/1/2012,Electric hybrids,309
7/1/2012,Electricity,11
7/1/2012,Ethanol,332
7/1/2012,Gas,6791
7/1/2012,NG,406
7/1/2012,Others,5
7/1/2012,Plug-in hybrids,91
8/1/2012,Diesel,14458
8/1/2012,Electric hybrids,262
8/1/2012,Electricity,14
8/1/2012,Ethanol,361
8/1/2012,Gas,7371
8/1/2012,NG,401
8/1/2012,Others,3
8/1/2012,Plug-in hybrids,114
9/1/2012,Diesel,15885
9/1/2012,Electric hybrids,331
9/1/2012,Electricity,37
9/1/2012,Ethanol,359
9/1/2012,Gas,6828
9/1/2012,NG,432
9/1/2012,Others,2
9/1/2012,Plug-in hybrids,138
10/1/2012,Diesel,16830
10/1/2012,Electric hybrids,434
10/1/2012,Electricity,18
10/1/2012,Ethanol,416
10/1/2012,Gas,7416
10/1/2012,NG,578
10/1/2012,Others,9
10/1/2012,Plug-in hybrids,102
11/1/2012,Diesel,17432
11/1/2012,Electric hybrids,402
11/1/2012,Electricity,26
11/1/2012,Ethanol,305
11/1/2012,Gas,8119
11/1/2012,NG,385
11/1/2012,Others,3
11/1/2012,Plug-in hybrids,77
12/1/2012,Diesel,18209
12/1/2012,Electric hybrids,372
12/1/2012,Electricity,28
12/1/2012,Ethanol,521
12/1/2012,Gas,7875
12/1/2012,NG,408
12/1/2012,Others,5
12/1/2012,Plug-in hybrids,68
1/1/2013,Diesel,11067
1/1/2013,Electric hybrids,358
1/1/2013,Electricity,43
1/1/2013,Ethanol,166
1/1/2013,Gas,5369
1/1/2013,NG,365
1/1/2013,Others,3
1/1/2013,Plug-in hybrids,111
2/1/2013,Diesel,11928
2/1/2013,Electric hybrids,342
2/1/2013,Electricity,26
2/1/2013,Ethanol,163
2/1/2013,Gas,6046
2/1/2013,NG,405
2/1/2013,Others,1
2/1/2013,Plug-in hybrids,232
3/1/2013,Diesel,14794
3/1/2013,Electric hybrids,353
3/1/2013,Electricity,29
3/1/2013,Ethanol,287
3/1/2013,Gas,8166
3/1/2013,NG,354
3/1/2013,Others,4
3/1/2013,Plug-in hybrids,144
4/1/2013,Diesel,16610
4/1/2013,Electric hybrids,365
4/1/2013,Electricity,24
4/1/2013,Ethanol,151
4/1/2013,Gas,9079
4/1/2013,NG,356
4/1/2013,Others,5
4/1/2013,Plug-in hybrids,52
5/1/2013,Diesel,17216
5/1/2013,Electric hybrids,464
5/1/2013,Electricity,24
5/1/2013,Ethanol,253
5/1/2013,Gas,10200
5/1/2013,NG,365
5/1/2013,Others,2
5/1/2013,Plug-in hybrids,51
6/1/2013,Diesel,15160
6/1/2013,Electric hybrids,362
6/1/2013,Electricity,26
6/1/2013,Ethanol,278
6/1/2013,Gas,9101
6/1/2013,NG,291
6/1/2013,Others,2
6/1/2013,Plug-in hybrids,69
7/1/2013,Diesel,11590
7/1/2013,Electric hybrids,355
7/1/2013,Electricity,5
7/1/2013,Ethanol,264
7/1/2013,Gas,8112
7/1/2013,NG,198
7/1/2013,Others,3
7/1/2013,Plug-in hybrids,73
8/1/2013,Diesel,13489
8/1/2013,Electric hybrids,553
8/1/2013,Electricity,26
8/1/2013,Ethanol,414
8/1/2013,Gas,8954
8/1/2013,NG,314
8/1/2013,Others,3
8/1/2013,Plug-in hybrids,54
9/1/2013,Diesel,15331
9/1/2013,Electric hybrids,556
9/1/2013,Electricity,44
9/1/2013,Ethanol,259
9/1/2013,Gas,9398
9/1/2013,NG,287
9/1/2013,Others,1
9/1/2013,Plug-in hybrids,51
10/1/2013,Diesel,15604
10/1/2013,Electric hybrids,549
10/1/2013,Electricity,80
10/1/2013,Ethanol,350
10/1/2013,Gas,10143
10/1/2013,NG,304
10/1/2013,Others,4
10/1/2013,Plug-in hybrids,67
11/1/2013,Diesel,15328
11/1/2013,Electric hybrids,483
11/1/2013,Electricity,56
11/1/2013,Ethanol,431
11/1/2013,Gas,9534
11/1/2013,NG,292
11/1/2013,Others,9
11/1/2013,Plug-in hybrids,102
12/1/2013,Diesel,17321
12/1/2013,Electric hybrids,430
12/1/2013,Electricity,69
12/1/2013,Ethanol,227
12/1/2013,Gas,8749
12/1/2013,NG,342
12/1/2013,Others,5
12/1/2013,Plug-in hybrids,103
1/1/2014,Diesel,12357
1/1/2014,Electric hybrids,492
1/1/2014,Electricity,67
1/1/2014,Ethanol,186
1/1/2014,Gas,6793
1/1/2014,NG,376
1/1/2014,Others,1
1/1/2014,Plug-in hybrids,62
2/1/2014,Diesel,13743
2/1/2014,Electric hybrids,462
2/1/2014,Electricity,59
2/1/2014,Ethanol,203
2/1/2014,Gas,7707
2/1/2014,NG,337
2/1/2014,Others,2
2/1/2014,Plug-in hybrids,138
3/1/2014,Diesel,16948
3/1/2014,Electric hybrids,627
3/1/2014,Electricity,117
3/1/2014,Ethanol,372
3/1/2014,Gas,10773
3/1/2014,NG,381
3/1/2014,Others,2
3/1/2014,Plug-in hybrids,300
4/1/2014,Diesel,17480
4/1/2014,Electric hybrids,495
4/1/2014,Electricity,65
4/1/2014,Ethanol,283
4/1/2014,Gas,10844
4/1/2014,NG,356
4/1/2014,Others,4
4/1/2014,Plug-in hybrids,390
5/1/2014,Diesel,17617
5/1/2014,Electric hybrids,520
5/1/2014,Electricity,73
5/1/2014,Ethanol,187
5/1/2014,Gas,10840
5/1/2014,NG,361
5/1/2014,Others,2
5/1/2014,Plug-in hybrids,307
6/1/2014,Diesel,18176
6/1/2014,Electric hybrids,627
6/1/2014,Electricity,91
6/1/2014,Ethanol,218
6/1/2014,Gas,10836
6/1/2014,NG,394
6/1/2014,Others,1
6/1/2014,Plug-in hybrids,500
7/1/2014,Diesel,12924
7/1/2014,Electric hybrids,419
7/1/2014,Electricity,144
7/1/2014,Ethanol,152
7/1/2014,Gas,8566
7/1/2014,NG,332
7/1/2014,Others,8
7/1/2014,Plug-in hybrids,246
8/1/2014,Diesel,14178
8/1/2014,Electric hybrids,609
8/1/2014,Electricity,286
8/1/2014,Ethanol,250
8/1/2014,Gas,9482
8/1/2014,NG,528
8/1/2014,Others,2
8/1/2014,Plug-in hybrids,270
9/1/2014,Diesel,15359
9/1/2014,Electric hybrids,583
9/1/2014,Electricity,78
9/1/2014,Ethanol,284
9/1/2014,Gas,10703
9/1/2014,NG,504
9/1/2014,Others,4
9/1/2014,Plug-in hybrids,266
10/1/2014,Diesel,16940
10/1/2014,Electric hybrids,702
10/1/2014,Electricity,86
10/1/2014,Ethanol,171
10/1/2014,Gas,10712
10/1/2014,NG,523
10/1/2014,Others,4
10/1/2014,Plug-in hybrids,456
11/1/2014,Diesel,15748
11/1/2014,Electric hybrids,692
11/1/2014,Electricity,63
11/1/2014,Ethanol,221
11/1/2014,Gas,9659
11/1/2014,NG,418
11/1/2014,Others,3
11/1/2014,Plug-in hybrids,204
12/1/2014,Diesel,16564
12/1/2014,Electric hybrids,826
12/1/2014,Electricity,137
12/1/2014,Ethanol,164
12/1/2014,Gas,9610
12/1/2014,NG,511
12/1/2014,Others,2
12/1/2014,Plug-in hybrids,272
1/1/2015,Diesel,12547
1/1/2015,Electric hybrids,579
1/1/2015,Electricity,78
1/1/2015,Ethanol,125
1/1/2015,Gas,7418
1/1/2015,NG,335
1/1/2015,Others,3
1/1/2015,Plug-in hybrids,214
2/1/2015,Diesel,14838
2/1/2015,Electric hybrids,626
2/1/2015,Electricity,101
2/1/2015,Ethanol,113
2/1/2015,Gas,8482
2/1/2015,NG,483
2/1/2015,Others,1
2/1/2015,Plug-in hybrids,203
3/1/2015,Diesel,19333
3/1/2015,Electric hybrids,943
3/1/2015,Electricity,357
3/1/2015,Ethanol,144
3/1/2015,Gas,11885
3/1/2015,NG,537
3/1/2015,Others,4
3/1/2015,Plug-in hybrids,315
4/1/2015,Diesel,18486
4/1/2015,Electric hybrids,504
4/1/2015,Electricity,286
4/1/2015,Ethanol,168
4/1/2015,Gas,11643
4/1/2015,NG,600
4/1/2015,Others,5
4/1/2015,Plug-in hybrids,355
5/1/2015,Diesel,17953
5/1/2015,Electric hybrids,584
5/1/2015,Electricity,322
5/1/2015,Ethanol,95
5/1/2015,Gas,11545
5/1/2015,NG,448
5/1/2015,Others,2
5/1/2015,Plug-in hybrids,386
6/1/2015,Diesel,19833
6/1/2015,Electric hybrids,914
6/1/2015,Electricity,328
6/1/2015,Ethanol,112
6/1/2015,Gas,12434
6/1/2015,NG,311
6/1/2015,Others,3
6/1/2015,Plug-in hybrids,479
7/1/2015,Diesel,14472
7/1/2015,Electric hybrids,596
7/1/2015,Electricity,256
7/1/2015,Ethanol,77
7/1/2015,Gas,10236
7/1/2015,NG,325
7/1/2015,Others,1
7/1/2015,Plug-in hybrids,279
8/1/2015,Diesel,15292
8/1/2015,Electric hybrids,611
8/1/2015,Electricity,260
8/1/2015,Ethanol,123
8/1/2015,Gas,10800
8/1/2015,NG,427
8/1/2015,Others,0
8/1/2015,Plug-in hybrids,308
9/1/2015,Diesel,16795
9/1/2015,Electric hybrids,850
9/1/2015,Electricity,220
9/1/2015,Ethanol,133
9/1/2015,Gas,12128
9/1/2015,NG,533
9/1/2015,Others,4
9/1/2015,Plug-in hybrids,398
10/1/2015,Diesel,18570
10/1/2015,Electric hybrids,775
10/1/2015,Electricity,202
10/1/2015,Ethanol,105
10/1/2015,Gas,12057
10/1/2015,NG,457
10/1/2015,Others,5
